laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Lenovo,intel,i5,2,ddr3,8gb,ssd,, 14``,48400,used,https://www.kupindo.com/Laptopovi/46413549_Lenovo-i5-8GB-Intel-HD-Graphics-256GB-SSD-Akcija,46413549
Hewlett Packard,intel,i5,2,ddr4,8gb,ssd,,12.5`,48150,used,https://www.kupindo.com/Laptopovi/46547581_HP-EliteBook-i5-8GB-256-SSD-br-2-Akcija,46547581
Dell,intel,i7,2,ddr3,8 gb,ssd,256 gb, 14``,48150,used,https://www.kupindo.com/Laptopovi/46607957_Dell-Latitude-i7-8gb-256-GB-SSD-Akcija,46607957
Lenovo,intel,i5,2,ddr3,12gb,hdd,1TB, 14``,48000,used,https://www.kupindo.com/Laptopovi/51939873_LENOVO-14-1-LED-IPS-FHD-i5-5300U-12GB-256GB-SSD-18,51939873
Dell,intel,i5,2,ddr4,8gb,ssd,256gb, 12``,48000,used,https://www.kupindo.com/Laptopovi/52703753_Ultrabook-Dell-Latitude-E7270-i5-6Gen-8GB-SSD-Full-HD,52703753
Asus,intel,i7,2,ddr3,8 gb,hdd,500gb,15.6`,47500,used,https://www.kupindo.com/Laptopovi/47007701_Asus-i7-8GB-RAM-500-GB-dve-grafike-Akcija,47007701
Dell,intel,i5,2,,8 gb,ssd,128 gb, 12``,47250,used,https://www.kupindo.com/Laptopovi/46608417_Dell-Latitude-i5-8gb-128-GB-SSD-Akcija,46608417
Dell,intel,i7,2,ddr3,8gb,ssd,128gb, 14``,47000,used,https://www.kupindo.com/Laptopovi/46285893_Dell-Latitude-i7-8gb-RAM-128-SSD-2-Grafike-Akcija,46285893
Lenovo,intel,i7,2,ddr3,8gb,ssd,8gb, 12``,46200,used,https://www.kupindo.com/Laptopovi/54056457_Lenovo-Yoga-12-i7-5500-8gb-ddr3-256gb-ssd-2u1-tablet-,54056457
Lenovo,intel,i7,2,ddr3,8gb,ssd,256gb, 14``,46000,used,https://www.kupindo.com/Laptopovi/46437485_Lenovo-i7-8gb-256-ssd-Intel-HD-Graphics-4400-Akcija,46437485
Dell,intel,i5,2,ddr3,4 gb,hdd,500 gb,15.6`,45500,used,https://www.kupindo.com/Laptopovi/46598385_Dell-Latitude-i5-4gb-500-GB-intel-HD-520-Akcija,46598385
