laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Lenovo,intel,i5,2,ddr3,8gb,ssd,, 12``,26500,defective,https://www.kupindo.com/Laptopovi/46569473_Lenovo-ThinkPad-X240-Core-i5-8Gb-120Gb-SSD-12-5-LED,46569473
Asus,intel,i5,2,ddr3,4gb,hdd,500gb,15``,26500,used,https://www.kupindo.com/Laptopovi/48346621_GEJMER-Acer-Aspire-5755G-i5-2450M-4Gb-500Gb-GT630-2Gb,48346621
Fujitsu,intel,i5,2,ddr3,8gb,hdd,500gb, 13``,26500,used,https://www.kupindo.com/Laptopovi/53493145_Laptop-Fujitsu-LIFEBOOK-E7-E734-i5-2-40GHz-8GBRAM-500GB,53493145
Hewlett Packard,intel,i5,2,ddr3,8gb,ssd,, 14``,26500,used,https://www.kupindo.com/Laptopovi/54044237_HP-EliteBook-9470m-Folio-i5-3427U-8Gb-120Gb-SSD-3-4h,54044237
Fujitsu,intel,i5,2,ddr3,4 gb,hdd,500 gb,15.6`,26400,used,https://www.kupindo.com/Laptopovi/46242573_Fujitsu-i5-4gb-ddr3-500-gb-intel-HD-4000-Akcija,46242573
Dell,intel,i5,2,ddr3,8gb,hdd,320 gb, 14``,26100,used,https://www.kupindo.com/Laptopovi/46454661_Dell-Latitude-i5-8gb-320-GB-Intel-HD-Graphics-Akcija,46454661
Acer,intel,i3,2,ddr3,4gb,hdd,500gb,"15,6`",26000,used,https://www.kupindo.com/Laptopovi/47005213_Acer-Aspire-i3-4gb-RAM-500-GB-Intel-HD-Akcija,47005213
Asus,intel,i5,2,ddr3,8gb,ssd,240gb,15``,26000,defective,https://www.kupindo.com/Laptopovi/54150299_Asus-F555LN-i5-4Gen-8GB-240gbSSD-2GB-Grafika,54150299
Lenovo,intel,i7,2,ddr3,8gb,hdd,250 gb, 12``,25900,used,https://www.kupindo.com/Laptopovi/53699261_Lenovo-ThinkPad-X220-i7-II-8GB-250GB,53699261
Lenovo,intel,i5,4,ddr3,4gb,ssd,120gb, 14``,25650,used,https://www.kupindo.com/Laptopovi/47008061_Lenovo-i5-4gb-RAM-120gb-SSD-Akcija,47008061
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,320gb,15``,25650,used,https://www.kupindo.com/Laptopovi/47122273_HP-i5-4-GB-RAM-500-GB-Intel-HD-Akcija,47122273
Hewlett Packard,intel,i5,2,ddr3,8gb,hdd,320gb,"12,5`",25650,used,https://www.kupindo.com/Laptopovi/47252701_HP-i5-8-GB-RAM-320-GB-Intel-HD-4000-Akcija,47252701
Fujitsu,intel,i5,2,ddr3,8gb,ssd,500gb, 14``,25600,used,https://www.kupindo.com/Laptopovi/48211801_Laptop-Fujitsu-LIFEBOOK-S752-i5-2-60GHz-8GBRAM-SSD-500G,48211801
Dell,intel,i5,2,ddr3,4gb,ssd,120gb,15``,25199,used,https://www.kupindo.com/Laptopovi/53978485_GEJMER-I5-4310M\RAM4gb\ssd120gb\SVETLECA-TAST\bat-NOVA,53978485
Lenovo,intel,i5,2,ddr3,4gb,hdd,500gb, 12``,25000,used,https://www.kupindo.com/Laptopovi/53245425_Lenovo-ThinkPad-X240-Tachscreen-i5-4Gen-4GB-500hdd,53245425
Hewlett Packard,intel,i7,2,ddr3,6 gb,hdd,,17``,25000,used,https://www.kupindo.com/Laptopovi/54214635_HP-G72-i7-6gb-ram-500gb,54214635
Lenovo,intel,i5,2,ddr3,4 gb,hdd,320 gb,12.5`,24750,used,https://www.kupindo.com/Laptopovi/46429313_Lenovo-i5-4gb-320-gb-Intel-HD-Graphics-4000-Akcija,46429313
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,250 gb,15.6`,24750,used,https://www.kupindo.com/Laptopovi/50193405_HP-8560p-i5-2520M-4gb-250-GB-AMD-Radeon-4670-Akcija,50193405
Lenovo,intel,i7,2,ddr3,8gb,hdd,320gb, 12``,24500,defective,https://www.kupindo.com/Laptopovi/53699965_Lenovo-ThinkPad-X230-i7-III-8GB-320GB,53699965
Dell,intel,i3,2,,4 gb,hdd,320 gb,15.6`,24300,used,https://www.kupindo.com/Laptopovi/46608689_Dell-Latitude-i3-4gb-320-GB-intel-HD-Akcija,46608689
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,250gb, 14``,24300,used,https://www.kupindo.com/Laptopovi/50223457_HP-8470p-i5-4GB-250GB-Intel-HD-4000-Akcija,50223457
Lenovo,intel,i5,2,,4 gb,ssd,, 14``,24200,used,https://www.kupindo.com/Laptopovi/53966337_Lenovo-ThinkPad-L440-i5-4300M-320gb-4gb,53966337
Lenovo,intel,i3,2,ddr3,4gb,hdd,,15.6,24000,used,https://www.kupindo.com/Laptopovi/52650349_Lenovo-G50-i3-4030-1-9Gh-4Gb-500Gb-Intel-HD,52650349
Asus,intel,i5,2,ddr3,6gb,hdd,750gb,15``,24000,used,https://www.kupindo.com/Laptopovi/54070149_TOP-Masina-Asus-X53S-i3-2Gen-6GB-750hdd-Dve-Grafike-,54070149
Dell,intel,i5,2,ddr3,4gb,hdd,320 gb, 14``,23850,used,https://www.kupindo.com/Laptopovi/46454505_Dell-Latitude-i5-4gb-320-GB-Intel-HD-Graphics-Akcija,46454505
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,160 gb,Ostalo,23800,used,https://www.kupindo.com/Laptopovi/53047001_HP-ProBook-6570b-Intel-Core-i5,53047001
Lenovo,intel,i5,2,ddr3,4gb,hdd,320 gb, 14``,23600,used,https://www.kupindo.com/Laptopovi/46557333_Lenovo-i5-4gb-320-gb-Intel-HD-Graphics-3000-Akcija,46557333
Toshiba,intel,i5,2,ddr3,4gb,hdd,1TB,15``,23500,defective,https://www.kupindo.com/Laptopovi/54245807_Toshiba-Satellite-L50-B-i5-4Gen-4GB-1TBhdd-Dve-Grafike,54245807
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,320gb,"14,1`",23400,used,https://www.kupindo.com/Laptopovi/46991841_HP-EliteBook-i5-4-GB-RAM-320GB-Akcija,46991841
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,250gb,"12,5`",23400,used,https://www.kupindo.com/Laptopovi/47252801_HP-i5-4-GB-RAM-250-GB-Intel-HD-4000-Akcija,47252801
Hewlett Packard,intel,i3,2,ddr3,4gb,hdd,500 gb,17.3`,23400,used,https://www.kupindo.com/Laptopovi/50217641_HP-4720s-i3-370M-4-Gb-DDR3-500Gb-ATi-Radeon-Akcija,50217641
Acer,intel,i3,2,ddr3,6gb,hdd,500gb,"15,6`",23000,used,https://www.kupindo.com/Laptopovi/47095765_Acer-i3-6GB-RAM-500-GB-Intel-HD-Akcija,47095765
Dell,intel,i5,4,ddr3,4gb,hdd,200 gb, 14``,23000,used,https://www.kupindo.com/Laptopovi/50218445_Dell-Latitude-E6410-i5-4gb-200gb-NVS-3100M-Akcija,50218445
Hewlett Packard,intel,i5,2,ddr3,4gb,ssd,120gb, 13``,23000,defective,https://www.kupindo.com/Laptopovi/51160417_HP-Spectre-XT-Pro-13-b000-i5-4GB-120ssd-13-3-,51160417
Lenovo,intel,i5,2,,4gb,ssd,, 12``,23000,used,https://www.kupindo.com/Laptopovi/54077349_Lenovo-Thinkpad-x240-Touch-i5-4210U-4GB-500GB-bat-12-h,54077349
Hewlett Packard,intel,i7,2,ddr3,4gb,hdd,,12.1`,22950,used,https://www.kupindo.com/Laptopovi/47062465_HP-EliteBook-i7-4GB-RAM-160GB-Akcija,47062465
Dell,intel,i7,2,ddr3,8gb,hdd,320 gb,Ostalo,22600,used,https://www.kupindo.com/Laptopovi/53046937_Dell-E6320-Intel-Core-i7,53046937
Lenovo,intel,i5,2,ddr3,4gb,hdd,320gb,12.5`,22500,used,https://www.kupindo.com/Laptopovi/46438177_Lenovo-i5-4gb-320-gb-Intel-HD-Graphics-3000-Akcija,46438177
Dell,intel,i5,2,ddr3,4gb,hdd,250 gb, 14``,22500,used,https://www.kupindo.com/Laptopovi/46454837_Dell-Latitude-i5-4gb-250-GB-Intel-HD-Graphics-Akcija,46454837
Dell,intel,i5,2,ddr3,4gb,hdd,250gb, 14``,22500,used,https://www.kupindo.com/Laptopovi/50110345_Dell-Latitude-E5430-i5-3320M-4GB-250GB-Intel-Akcija,50110345
Lenovo,intel,i5,2,ddr3,4gb,hdd,250gb,12.5`,22050,used,https://www.kupindo.com/Laptopovi/46437965_Lenovo-i5-4gb-250-gb-Intel-HD-Graphics-3000-Akcija,46437965
Hewlett Packard,intel,i5,2,ddr3,4 gb,hdd,500 gb,15.6`,22050,used,https://www.kupindo.com/Laptopovi/46597977_HP-ProBook-i5-4gb-500-GB-DVE-GRAFIKE-Akcija,46597977
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,160 gb,15.6`,22050,used,https://www.kupindo.com/Laptopovi/47138237_HP-i5-4-GB-RAM-160-GB-Intel-HD-Akcija,47138237
Dell,intel,i5,2,ddr3,8gb,hdd,250 gb, 14``,22000,used,https://www.kupindo.com/Laptopovi/46454929_Dell-Latitude-i5-8gb-250-GB-Intel-HD-Graphics-Akcija,46454929
Dell,intel,i5,2,ddr3,4gb,hdd,,12.5`,22000,used,https://www.kupindo.com/Laptopovi/50089149_Dell-Latitude-E6230-i5-4gb-320gb-Intel-HD-Akcija,50089149
HP,intel,i5,2,,4 gb,ssd,,15``,22000,defective,https://www.kupindo.com/Laptopovi/51955701_HP-Elite-Book-840-i5-4210U,51955701
Fujitsu,intel,i7,2,,4 gb,hdd,,15``,21800,used,https://www.kupindo.com/Laptopovi/54136331_Fujitsu-Lifebook-AH531-i7-2620m-500gb-4gb,54136331
Lenovo,intel,i5,2,ddr3,4gb,hdd,160 gb, 14``,21600,used,https://www.kupindo.com/Laptopovi/46557353_Lenovo-i5-4gb-160-GB-Intel-HD-Graphics-3000-Akcija,46557353
Acer,intel,i3,2,ddr3,3gb,hdd,250gb,15.6`,21600,used,https://www.kupindo.com/Laptopovi/47112437_Acer-i3-3-GB-RAM-250-GB-ATI-RADEON-Akcija,47112437
Lenovo,intel,i3,2,ddr3,4gb,ssd,120gb, 13``,21500,used,https://www.kupindo.com/Laptopovi/47782545_Lenovo-IdeaPad-S300-i3-4Gb-120Gb-SSD,47782545
Lenovo,intel,i5,2,ddr3,8gb,hdd,500 gb, 12``,21330,used,https://www.kupindo.com/Laptopovi/54056593_Lenovo-X240-i5-4300U-8gb-ddr3-500gb-Kamera-Win10Pro,54056593
Hewlett Packard,intel,i5,2,ddr3,6gb,hdd,,15``,19080,defective,https://www.kupindo.com/Laptopovi/53992673_HP-Probook-4540S-I5-3210-2-5-GHz-6Gb-ATI-HD-7650M,53992673
Fujitsu,intel,i3,2,ddr3,4gb,hdd,250 gb,15.6`,21150,used,https://www.kupindo.com/Laptopovi/47122337_Fujitsu-i3-4-GB-RAM-250-GB-Intel-HD-Akcija,47122337
Acer,intel,i5,2,ddr3,4gb,hdd,500gb,15.6`,20700,used,https://www.kupindo.com/Laptopovi/47112601_Acer-i5-4-GB-RAM-500-GB-Nvidia-GT420-Akcija,47112601
Dell,intel,i5,2,ddr3,8gb,hdd,, 14``,20550,used,https://www.kupindo.com/Laptopovi/53979497_Dell-Latitude-E6420-i5-2520M-dupla-grafika-8gb-ram-1600,53979497
Hewlett Packard,intel,i5,2,ddr3,4gb,ssd,, 14``,20500,used,https://www.kupindo.com/Laptopovi/53957981_HP-EliteBook-8460p-14-i5-2520M-4GB-180GB-SSD-bat-6-h,53957981
Lenovo,intel,i5,2,ddr3,4 gb,ssd,, 14``,20500,used,https://www.kupindo.com/Laptopovi/54187491_Lenovo-T420s-i5-2520M-ssd-240gb-4gb-rez-1600x900,54187491
Dell,intel,i3,2,ddr3,4gb,hdd,320 gb,15.6`,20400,used,https://www.kupindo.com/Laptopovi/50218941_Dell-Vostro-3550-i3-4gb-320gb-Intel-HD-3000-Akcija,50218941
Medion,intel,i3,2,ddr3,4gb,hdd,500 gb,15.6`,20250,used,https://www.kupindo.com/Laptopovi/47118161_Medion-Akoya-i3-4GB-RAM-500-GB-Intel-HD-Akcija,47118161
Dell,intel,i5,2,ddr3,4gb,hdd,320 gb,Ostalo,20200,used,https://www.kupindo.com/Laptopovi/53046921_Dell-E6330-Intel-Core-i5,53046921
Dell,intel,i3,2,ddr3,8 gb,hdd,1000 gb,15``,20160,used,https://www.kupindo.com/Laptopovi/53936037_DEll-Insipirion-15-6-Core-I3-3110M-8-GB-1-TB-nova-bat,53936037
Lenovo,intel,i5,2,ddr3,4gb,hdd,500 gb, 14``,20145,used,https://www.kupindo.com/Laptopovi/54056469_Lenovo-T430-i5-3-gen-4gb-DDR3-500gb-Win-7-Kamera,54056469
Lenovo,intel,i7,2,,4 gb,ssd,, 14``,20000,defective,https://www.kupindo.com/Laptopovi/53992601_Lenovo-ThinkPad-L420-I7-2670QM-14-4GB-250GB,53992601
Dell,intel,i5,2,ddr3,4 gb,hdd,320gb,12.5`,19800,used,https://www.kupindo.com/Laptopovi/46994969_Dell-Latitude-i5-4gb-RAM-320gb-Akcija,46994969
Lenovo,intel,i5,2,ddr3,4gb,hdd,, 14``,19800,used,https://www.kupindo.com/Laptopovi/50087417_Lenovo-ThinkPad-T410-i5-4gb-320gb-Intel-HD-Akcija,50087417
Medion,intel,i3,2,ddr3,6gb,hdd,500gb,15``,19500,used,https://www.kupindo.com/Laptopovi/52092801_Medion-AKOYA-i3-2-Gen-6GB-500hdd-Dve-Grafike-,52092801
Hewlett Packard,intel,i5,2,ddr3,4gb,ssd,120gb, 13``,19500,defective,https://www.kupindo.com/Laptopovi/52723273_HP-Folio-13-i5-2-Gen-4GB-SSD-13-3-,52723273
Terra,intel,i3,2,ddr3,4gb,hdd,500gb,15.6,19500,used,https://www.kupindo.com/Laptopovi/53593109_TerraMobille-1748P-i3-3110-2-4Gh-4Gb-500Gb,53593109
Hewlett Packard,intel,i3,2,,3gb,hdd,, 14``,19000,used,https://www.kupindo.com/Laptopovi/51476657_HP-ProBook-6470b-i3-3110m-3GB-ram-ALUMINIJUM,51476657
Medion,intel,i3,2,,6gb,hdd,,15``,19000,used,https://www.kupindo.com/Laptopovi/53176025_Laptop-Medion-Akoya-P6630,53176025
Hewlett Packard,intel,i5,2,ddr3,4 gb,hdd,250 gb, 14``,18900,used,https://www.kupindo.com/Laptopovi/47137881_HP-i5-4-GB-RAM-250-GB-Intel-HD-Akcija,47137881
Hewlett Packard,intel,i3,2,ddr3,4gb,hdd,320 gb,13.3`,18800,used,https://www.kupindo.com/Laptopovi/47116953_HP-Probook-i3-4GB-RAM-320-GB-Intel-HD-Akcija,47116953
Acer,intel,i3,2,ddr3,6gb,hdd,500gb,15.6,18500,used,https://www.kupindo.com/Laptopovi/52316089_Acer-E1-571-i3-6Gb-500Gb-HD3000-odlican-laptop,52316089
Acer,intel,i5,2,ddr3,4gb,ssd,, 13``,18500,used,https://www.kupindo.com/Laptopovi/53798293_Acer-TimelineX-3830-i5-2450M-nov-SSD-128GB,53798293
Medion,intel,i3,2,ddr3,4gb,hdd,160gb,15.6`,18450,used,https://www.kupindo.com/Laptopovi/47117485_Medion-Akoya-i3-4-GB-RAM-160-GB-Akcija,47117485
Hewlett Packard,intel,i5,2,ddr3,2 gb,hdd,,15``,18100,used,https://www.kupindo.com/Laptopovi/41037259_Laptop-32-HP-Probook-6540b,41037259
Hewlett Packard,intel,i3,2,ddr3,4gb,hdd,500gb,15.6`,18000,used,https://www.kupindo.com/Laptopovi/47106333_HP-i3-4GB-RAM-500-GB-Intel-HD-Akcija,47106333
Hewlett Packard,intel,i3,2,ddr3,4gb,hdd,, 14``,18000,defective,https://www.kupindo.com/Laptopovi/51011269_HP-ProBook-6460b,51011269
Fujitsu,intel,i5,2,,8gb,hdd,,15.6`` ,18000,used,https://www.kupindo.com/Laptopovi/53886021_Fujitsu-Lifebook-A530-i5,53886021
Lenovo,intel,i3,2,ddr3,4gb,ssd,,15``,18000,defective,https://www.kupindo.com/Laptopovi/54164099_Lenovo-Flex-2-15-fullHD-Touch-i3-4030U-4GB-500GB-bat-3h,54164099
Asus,intel,i5,2,ddr3,6gb,hdd,750gb,15``,17991,used,https://www.kupindo.com/Laptopovi/53142157_Laptop-Asus-k56c-15-6-I5-3-gen-6gb-750gb-poklon-GARAN,53142157
Fujitsu,intel,i5,2,ddr3,8gb,hdd,500gb, 13``,17500,used,https://www.kupindo.com/Laptopovi/46515337_Laptop-Fujitsu-LIFEBOOK-S7-S762-i5-2-60GHz-8GB-RAM-HDD,46515337
Dell,intel,i3,2,ddr3,4gb,hdd,250gb, 14``,17100,used,https://www.kupindo.com/Laptopovi/50111693_Dell-Latitude-E5420-i3-2330M-250GB-4GB-Intel-Akcija,50111693
Asus,intel,i3,2,ddr3,4gb,hdd,250 gb,"15,6`",17000,used,https://www.kupindo.com/Laptopovi/47101453_Asus-i3-4-GB-RAM-250-GB-Akcija,47101453
Lenovo,intel,i5,2,ddr3,4gb,hdd,, 13``,17000,used,https://www.kupindo.com/Laptopovi/52185265_Lenovo-ThinkPad-Edge-E330-i5-II-gen-4Gb-320Gb-4h,52185265
Hewlett Packard,intel,i3,2,ddr3,3gb,hdd,320gb,15``,17000,used,https://www.kupindo.com/Laptopovi/53597533_PRELEP-HP-G62-15-6-i3-3GB-320hdd-Kamera,53597533
Toshiba,intel,i3,2,ddr3,4gb,hdd,,"15,6`",16990,used,https://www.kupindo.com/Laptopovi/53826697_TOSHIBA-4GB-RAM-320HDD-2gb-graf-15-6-,53826697
Lenovo,intel,i3,2,ddr3,4gb,hdd,320gb, 13``,16800,used,https://www.kupindo.com/Laptopovi/47880241_Lenovo-ThinkPad-Edge-E320-i3-4Gb-320Gb-13-3Inch,47880241
Toshiba,intel,i5,2,ddr3,4gb,hdd,320 gb, 14``,16590,used,https://www.kupindo.com/Laptopovi/54056429_Toshiba-R840-i5-druga-gen-4gb-ddr3-320gb-usb-3-0,54056429
Fujitsu,intel,i5,2,ddr3,4gb,hdd,320gb, 14``,16590,used,https://www.kupindo.com/Laptopovi/54056521_Fujitsu-S751-i5-druga-gen-4gb-ddr3-320gb-Win7PRO,54056521
Samsung,intel,i3,2,ddr3,4gb,hdd,320gb,17.3,16500,used,https://www.kupindo.com/Laptopovi/51507573_Samsung-R730-i3-350-4Gb-320Gb-laptop,51507573
Lenovo,intel,i5,2,,4gb,hdd,,13.3,16500,used,https://www.kupindo.com/Laptopovi/53701569_Lenovo-ThikPad-Edge-E330-i3-3230-2-6Gh-4Gb-500Gb,53701569
Lenovo,intel,i5,2,,4 gb,ssd,, 12``,16400,used,https://www.kupindo.com/Laptopovi/54005009_Lenovo-ThinkPad-X220-i5-2520m-320gb-4gb,54005009
Acer,intel,i5,2,ddr3,4gb,hdd,, 13``,16300,used,https://www.kupindo.com/Laptopovi/54214219_Acer-TimelineX-3830-i5-2450m-320gb-4gb,54214219
Asus,intel,i3,2,ddr2,4gb,hdd,2TB,15``,16000,defective,https://www.kupindo.com/Laptopovi/45860541_Asus-X55S-C2Duo-2-4GHz-4GB-RAM-NVIDIA-9500GS-320GB,45860541
Hewlett Packard,intel,i3,2,,4gb,hdd,, 13``,16000,used,https://www.kupindo.com/Laptopovi/51476197_PERFEKTAN-HP-ProBook-4330s-i3-2310m-ALUMINIUMSKI,51476197
Hewlett Packard,intel,i5,2,,4 gb,hdd,160 gb,15``,16000,used,https://www.kupindo.com/Laptopovi/51830753_Laptop-HP-ProBook-6550-b,51830753
Hewlett Packard,intel,i5,4,ddr3,4gb,hdd,,15``,16000,used,https://www.kupindo.com/Laptopovi/52578845_HP-Proobook-6550b-Core-i5-4GB-320GB,52578845
Dell,intel,i5,2,,4gb,hdd,500gb, 14``,15500,used,https://www.kupindo.com/Laptopovi/47678921_Laptop-Dell-Latitude-E5410-i5-4GB-RAM-500GB-HDD-Disk,47678921
Fujitsu,intel,i3,2,,2 gb,hdd,,15``,15300,used,https://www.kupindo.com/Laptopovi/36539635_Laptop-Fujicu-Amilo-Li3710-torba,36539635
Fujitsu,intel,i7,2,ddr3,6gb,hdd,, 13``,15300,used,https://www.kupindo.com/Laptopovi/53992545_Fujitsu-Lifebook-S761-I7-2620-2-7GHz-6GB-250GB-13-3-,53992545
Toshiba,intel,i5,4,ddr3,4gb,ssd,320gb, 14``,15000,used,https://www.kupindo.com/Laptopovi/54078061_Toshiba-Tecra-M11-14-i5-520M-4GB-320GB-bat-2-h,54078061
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,750gb,15``,14579,defective,https://www.kupindo.com/Laptopovi/53978217_HP-PERFEKTAN-CEO-OD-ALU-15-6-I5-4gb-750gb-Bat-Nova-P,53978217
Lenovo,intel,i3,2,ddr3,4 gb,hdd,, 14``,14500,used,https://www.kupindo.com/Laptopovi/54041113_Lenovo-B40-80LS-14-4-GB-500-GB-kao-nov-,54041113
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,,12.5`,14400,used,https://www.kupindo.com/Laptopovi/50091021_HP-Elitebook-2540p-i5-4gb-120gb-Intel-HD-Akcija,50091021
Hewlett Packard,intel,i5,2,,4 gb,hdd,160 gb,15``,14400,used,https://www.kupindo.com/Laptopovi/52318249_Laptop-HP-ProBook-6550b,52318249
Lenovo,intel,i5,2,ddr3,4gb,hdd,500 gb, 12``,14220,used,https://www.kupindo.com/Laptopovi/54056529_Lenovo-X220-i5-druga-gen-4gb-ddr3-500gb-Win7Pro-Extra,54056529
Toshiba,intel,i5,2,ddr3,4gb,hdd,250 gb, 14``,14220,used,https://www.kupindo.com/Laptopovi/54056749_Toshiba-M11-i5-M560-4gb-ddr3-250gb-Win-7-PRO-licenca-,54056749
Hewlett Packard,intel,i5,2,ddr3,4gb,ssd,120gb, 13``,14000,defective,https://www.kupindo.com/Laptopovi/51160541_HP-Spectre-XT-Pro-13-b000-i5-4GB-120ssd,51160541
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,120gb,15``,13200,used,https://www.kupindo.com/Laptopovi/52782265_HP-Probook-6550b-Najskuplja-HP-ova-klasa-sa-i5,52782265
Fujitsu,intel,i5,2,ddr3,4gb,hdd,160gb, 14``,13000,used,https://www.kupindo.com/Laptopovi/54056573_Fujitsu-S710-i5-M560-4gb-ddr3-160gb-Win7PRO-,54056573
Fujitsu,intel,i5,2,ddr3,2gb,hdd,160gb, 12``,12999,used,https://www.kupindo.com/Laptopovi/44496041_Fujitsu-Siemens-Germany-T730-i5-Kompletan-Ispravan,44496041
Acer,intel,i3,2,ddr3,4gb,hdd,320gb, 13``,12420,used,https://www.kupindo.com/Laptopovi/52175889_Acer-13-3-LED-Intel-Core-I3-2-53ghz-4GB-320-GB-cam,52175889
Hewlett Packard,intel,i3,2,ddr3,2 gb,hdd,160 gb,15``,12200,used,https://www.kupindo.com/Laptopovi/54127347_HP-Probook-15-6-LED-Core-I3-2-40-ghz,54127347
Dell,intel,i3,2,ddr3,4gb,ssd,, 13``,11500,defective,https://www.kupindo.com/Laptopovi/54103327_Dell-3350-sa-i3-baterija-3-5h,54103327
Hewlett Packard,intel,i5,2,ddr3,4 gb,ssd,,15``,10500,defective,https://www.kupindo.com/Laptopovi/49906641_HP-ProBook-4530s,49906641
Asus,intel,i3,2,ddr3,4gb,ssd,, 13``,9700,used,https://www.kupindo.com/Laptopovi/54164199_Asus-X301A-13-Intel-B980-4GB-250GB-bat-3h,54164199
Dell,intel,i3,2,ddr3,4gb,ssd,,15``,8000,defective,https://www.kupindo.com/Laptopovi/53914881_DELL-Inspiron-N5110-i3-2350M-4GB-500GB,53914881
Hewlett Packard,intel,i7,2,ddr3,8gb,hdd,500gb,17.3,48500,used,https://www.kupindo.com/Laptopovi/54254507_HP-Pavilion-17-i7-4510u-2-6Gh-8Gb-500Gb-Nvidia-840M-2Gb,54254507
Apple,intel,i5,2,ddr3,4gb,ssd,128gb, 13``,49500,used,https://www.kupindo.com/Laptopovi/54273143_MacBook-Air-13-Early2015-i5-1-6Gh-4Gb-128SSD-HD6000,54273143
