laptop_id,laptop_url
48707351,https://www.kupindo.com/showcontent/2143/Laptopovi/48707351_ASUS-NOVO-NEKORISCENO-br-2-Akcija
48705427,https://www.kupindo.com/showcontent/2143/Laptopovi/48705427_ASUS-NOVO-NEKORISCENO-Akcija
48815537,https://www.kupindo.com/showcontent/2143/Laptopovi/48815537_HP-Laptop-Omen-15-NOVO-NEKORISCENO-Akcija
48813673,https://www.kupindo.com/showcontent/2135/Laptopovi/48813673_HP-Laptop-Omen-17-NOVO-NEKORISCENO-Akcija
48774057,https://www.kupindo.com/showcontent/2135/Laptopovi/48774057_HP-notebook-13-NOVO-NEKORISCENO-Akcija
51318701,https://www.kupindo.com/showcontent/2135/Laptopovi/51318701_Lenovo-YOGA-920-13IKB
48819125,https://www.kupindo.com/showcontent/2139/Laptopovi/48819125_HP-Laptop-Omen-17-NOVO-NEKORISCENO-Akcija
54152203,https://www.kupindo.com/showcontent/2139/Laptopovi/54152203_HP-ProBook-450-G5-2UB57EAR-i7-8550U-16GB-SSD512GB-1-TB-
54152323,https://www.kupindo.com/showcontent/2139/Laptopovi/54152323_HP-ProBook-470-G5-2XZ77ESR-i7-8550U-16GB-SSD256GB-1-TB-
51317473,https://www.kupindo.com/Laptopovi/51317473_Macbook-12-256gb-MNYF2-space-gray
48814321,https://www.kupindo.com/Laptopovi/48814321_HP-Laptop-17-NOVO-NEKORISCENO-Akcija
48814889,https://www.kupindo.com/Laptopovi/48814889_HP-Laptop-250-NOVO-NEKORISCENO-Akcija
48814789,https://www.kupindo.com/Laptopovi/48814789_HP-Laptop-15-NOVO-NEKORISCENO-Akcija
53429017,https://www.kupindo.com/Laptopovi/53429017_HP-Pavilion-Gaming-15-Novo
48699879,https://www.kupindo.com/Laptopovi/48699879_DELL-Inspiron-15-NOVO-NEKORISCENO-Akcija
50261069,https://www.kupindo.com/Laptopovi/50261069_Acer-Aspire-V-Nitro-Black-Edition-i7-6700HQ-8GB-GTX960
50957093,https://www.kupindo.com/Laptopovi/50957093_Lenovo-G570-i7-6600U-16Gb-ddr4-500Gb-HD520
48814601,https://www.kupindo.com/Laptopovi/48814601_HP-Laptop-250-NOVO-NEKORISCENO-Akcija
48815445,https://www.kupindo.com/Laptopovi/48815445_HP-Laptop-250-NOVO-NEKORISCENO-Akcija
53665689,https://www.kupindo.com/Laptopovi/53665689_Laptop-HP-Omen-17-i7-6700HQ-8GB-GTX965m-SSD-HDD
46556349,https://www.kupindo.com/Laptopovi/46556349_HP-EliteBook-i7-16gb-DDR4-256-GB-SSD-Akcija
48692583,https://www.kupindo.com/Laptopovi/48692583_LENOVO-laptop-NOVO-NEKORISCENO-Akcija
48815105,https://www.kupindo.com/Laptopovi/48815105_HP-Laptop-250-NOVO-NEKORISCENO-Akcija
50917069,https://www.kupindo.com/Laptopovi/50917069_TOSHIBA-15-6-4K-Touchscreen-i7-5500U-16GB-480SSD-69
48812729,https://www.kupindo.com/Laptopovi/48812729_HP-Laptop-250-NOVO-NEKORISCENO-Akcija
54056701,https://www.kupindo.com/Laptopovi/54056701_DeLL-M6700-i7-3740-16gb-ddr3-256gb-ssd-500gb-Quadro-2gb
